TE	tissue	strainTE	effect	strainBreakpoint	epigeneticEffect	histone.x	spread	average	frequency	problem	threshold	histone
2L_10020779_10020779_H	gut	AKA-017	increment	JUT-011	1	H3K27ac	4	37.999	1	N	consistent	bivalent
2L_10020779_10020779_H	gut	AKA-017	increment	MUN-016	1	H3K27ac	4	60.617	1	N	consistent	bivalent
2L_10020779_10020779_H	gut	AKA-017	increment	SLA-001	1	H3K27ac	6	33.829	1	N	consistent	bivalent
2L_10020779_10020779_H	gut	AKA-017	increment	TOM-007	1	H3K27ac	4	32.869	1	N	consistent	bivalent
2L_10020779_10020779_H	gut	AKA-017	increment	JUT-011	1	H3K9me3	1	24.244	1	N	threshold=1	bivalent
2L_10020779_10020779_H	gut	AKA-017	increment	MUN-016	1	H3K9me3	4	41.593	1	N	threshold=1	bivalent
2L_10020779_10020779_H	gut	AKA-017	increment	TOM-007	1	H3K9me3	4	17.682	1	N	threshold=1	bivalent
2L_10020779_10020779_H	head	AKA-017	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10020779_10020779_H	head	AKA-017	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10020779_10020779_H	head	AKA-017	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10020779_10020779_H	head	AKA-017	noEnrichment	JUT-011	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_10020779_10020779_H	head	AKA-017	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_10020779_10020779_H	head	AKA-017	noEnrichment	TOM-007	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_10020779_10020779_H	ovary	AKA-017	depletion	JUT-011	1	H3K27ac	1	-22.729	1	N	threshold=1	H3K27ac
2L_10020779_10020779_H	ovary	AKA-017	depletion	SLA-001	1	H3K27ac	1	-23.959	1	N	threshold=1	H3K27ac
2L_10020779_10020779_H	ovary	AKA-017	depletion	TOM-007	1	H3K27ac	1	-11.223	1	N	threshold=1	H3K27ac
2L_10044886_10044886_H	gut	AKA-017	increment	MUN-016	1	H3K27ac	4	28.644	1	N	threshold=1	H3K27ac
2L_10044886_10044886_H	gut	AKA-017	increment	SLA-001	1	H3K27ac	4	31.593	1	N	threshold=1	H3K27ac
2L_10044886_10044886_H	gut	AKA-017	increment	TOM-007	1	H3K27ac	4	28.658	1	N	threshold=1	H3K27ac
2L_10044886_10044886_H	head	AKA-017	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10044886_10044886_H	head	AKA-017	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10044886_10044886_H	head	AKA-017	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10044886_10044886_H	head	AKA-017	noEnrichment	JUT-011	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10044886_10044886_H	head	AKA-017	noEnrichment	MUN-016	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10044886_10044886_H	head	AKA-017	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10044886_10044886_H	head	AKA-017	noEnrichment	TOM-007	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10044886_10044886_H	ovary	AKA-017	increment	JUT-011	1	H3K9me3	1	28.432	1	N	consistent	H3K9me3
2L_10044886_10044886_H	ovary	AKA-017	increment	MUN-016	1	H3K9me3	3	81.567	1	N	consistent	H3K9me3
2L_10044886_10044886_H	ovary	AKA-017	increment	SLA-001	1	H3K9me3	1	46.417	1	N	consistent	H3K9me3
2L_10044886_10044886_H	ovary	AKA-017	increment	TOM-007	1	H3K9me3	2	60.922	1	N	consistent	H3K9me3
2L_10044886_10044886_H	ovary	AKA-017	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10044886_10044886_H	ovary	AKA-017	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10044886_10044886_H	ovary	AKA-017	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10053588_10053588_S-element	gut	AKA-017	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10053588_10053588_S-element	gut	AKA-017	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10053588_10053588_S-element	gut	AKA-017	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10053588_10053588_S-element	gut	AKA-017	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10053588_10053588_S-element	gut	AKA-017	noEnrichment	JUT-011	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_10053588_10053588_S-element	gut	AKA-017	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_10053588_10053588_S-element	gut	AKA-017	noEnrichment	TOM-007	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_10053588_10053588_S-element	head	AKA-017	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10053588_10053588_S-element	head	AKA-017	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10053588_10053588_S-element	head	AKA-017	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10053588_10053588_S-element	head	AKA-017	noEnrichment	JUT-011	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10053588_10053588_S-element	head	AKA-017	noEnrichment	MUN-016	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10053588_10053588_S-element	head	AKA-017	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10053588_10053588_S-element	head	AKA-017	noEnrichment	TOM-007	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10053588_10053588_S-element	ovary	AKA-017	increment	JUT-011	1	H3K9me3	1	27.855	1	N	consistent	H3K9me3
2L_10053588_10053588_S-element	ovary	AKA-017	increment	MUN-016	1	H3K9me3	4	80.279	1	N	consistent	H3K9me3
2L_10053588_10053588_S-element	ovary	AKA-017	increment	SLA-001	1	H3K9me3	1	27.709	1	N	consistent	H3K9me3
2L_10053588_10053588_S-element	ovary	AKA-017	increment	TOM-007	1	H3K9me3	2	44.901	1	N	consistent	H3K9me3
2L_10053588_10053588_S-element	ovary	AKA-017	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10053588_10053588_S-element	ovary	AKA-017	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10053588_10053588_S-element	ovary	AKA-017	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10053588_10053588_S-element	ovary	AKA-017	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10062012_10062012_I-element	gut	JUT-011	increment	AKA-017	1	H3K9me3	1	50.819	1	N	consistent	H3K9me3
2L_10062012_10062012_I-element	gut	JUT-011	increment	MUN-016	1	H3K9me3	3	95.825	1	N	consistent	H3K9me3
2L_10062012_10062012_I-element	gut	JUT-011	increment	SLA-001	1	H3K9me3	2	80.195	1	N	consistent	H3K9me3
2L_10062012_10062012_I-element	gut	JUT-011	increment	TOM-007	1	H3K9me3	2	70.004	1	N	consistent	H3K9me3
2L_10062012_10062012_I-element	gut	JUT-011	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
